date,time_of_day,shortest_distance,longest_distance
2024-02-01,NIGHT,0.01,57.72
2024-02-01,MORNING,0.01,53.62
2024-02-01,AFTERNOON,0.01,131.24
2024-02-01,EVENING,0.01,42.6
2024-01-31,NIGHT,1.01,9.54
2024-02-02,NIGHT,0.01,59.74
2024-02-02,MORNING,0.02,90.85
2024-02-02,AFTERNOON,0.01,60.79
2024-02-02,EVENING,0.01,55.63
2008-12-31,NIGHT,1.62,1.62
2024-02-03,NIGHT,0.01,52.32
2024-02-03,MORNING,0.02,57.81
2024-02-03,AFTERNOON,0.01,79.4
2024-02-03,EVENING,0.01,67.81
2024-02-04,NIGHT,0.01,52.93
2024-02-04,MORNING,0.01,91.36
2024-02-04,AFTERNOON,0.01,63.1
2024-02-04,EVENING,0.01,108.94
2024-02-05,NIGHT,0.02,88.98
2024-02-05,MORNING,0.01,97.3
2024-02-05,AFTERNOON,0.01,132.29
2024-02-05,EVENING,0.01,127.7
2024-02-06,NIGHT,0.01,67.03
2024-02-06,MORNING,0.01,74.57
2024-02-06,AFTERNOON,0.01,49.95
2024-02-06,EVENING,0.01,63.11
2024-02-07,NIGHT,0.06,45.76
2024-02-07,MORNING,0.01,59.4
2024-02-07,AFTERNOON,0.01,119.8
2024-02-07,EVENING,0.01,71.7
2024-02-08,NIGHT,0.02,53.73
2024-02-08,MORNING,0.01,76.9
2024-02-08,AFTERNOON,0.01,62.94
2024-02-08,EVENING,0.01,96.42
2024-02-09,NIGHT,0.01,74.02
2024-02-09,MORNING,0.02,52.39
2024-02-09,AFTERNOON,0.01,63.3
2024-02-09,EVENING,0.01,46.06
2024-02-10,NIGHT,0.01,70.39
2024-02-10,MORNING,0.03,54.76
2024-02-10,AFTERNOON,0.01,132.88
2024-02-10,EVENING,0.02,99.04
2009-01-01,NIGHT,0.57,0.57
2024-02-11,NIGHT,0.01,101.42
2024-02-11,MORNING,0.03,58.7
2024-02-11,AFTERNOON,0.01,52.75
2024-02-11,EVENING,0.01,62.2
2024-02-12,NIGHT,0.01,70.6
2024-02-12,MORNING,0.02,53.18
2024-02-12,AFTERNOON,0.01,136.63
2024-02-12,EVENING,0.01,112.38
2024-02-13,NIGHT,0.01,67.68
2024-02-13,MORNING,0.08,50.08
2024-02-13,AFTERNOON,0.01,67.7
2024-02-13,EVENING,0.01,100.52
2024-02-14,NIGHT,0.01,177.66
2024-02-14,MORNING,0.01,83.63
2024-02-14,AFTERNOON,0.01,62.76
2024-02-14,EVENING,0.01,64.81
2024-02-15,NIGHT,0.01,61.75
2024-02-15,MORNING,0.03,51.99
2024-02-15,AFTERNOON,0.01,65.99
2024-02-15,EVENING,0.01,76.8
2024-02-16,NIGHT,0.01,56.67
2024-02-16,MORNING,0.02,80.93
2024-02-16,AFTERNOON,0.01,60.79
2024-02-16,EVENING,0.01,68.55
2024-02-17,NIGHT,0.01,94.7
2024-02-17,MORNING,0.01,49.63
2024-02-17,AFTERNOON,0.01,42.64
2024-02-17,EVENING,0.01,74.61
2024-02-18,NIGHT,0.01,48.69
2024-02-18,MORNING,0.01,69.1
2024-02-18,AFTERNOON,0.01,72.63
2024-02-18,EVENING,0.01,108.6
2024-02-19,NIGHT,0.01,213.69
2024-02-19,MORNING,0.03,66.17
2024-02-19,AFTERNOON,0.01,74.01
2024-02-19,EVENING,0.02,68.23
2024-02-20,NIGHT,0.04,53.54
2024-02-20,MORNING,0.01,173.53
2024-02-20,AFTERNOON,0.02,57.6
2024-02-20,EVENING,0.01,47.41
2024-02-21,NIGHT,0.02,87.36
2024-02-21,MORNING,0.01,88.91
2024-02-21,AFTERNOON,0.01,85.3
2024-02-21,EVENING,0.01,84.4
2024-02-22,NIGHT,0.01,48.42
2024-02-22,MORNING,0.01,110.55
2024-02-22,AFTERNOON,0.01,68.57
2024-02-22,EVENING,0.01,63.7
2024-02-23,NIGHT,0.01,56.88
2024-02-23,MORNING,0.01,61.83
2024-02-23,AFTERNOON,0.02,62.87
2024-02-23,EVENING,0.01,61.5
2024-02-24,NIGHT,0.01,57.14
2024-02-24,MORNING,0.01,49.21
2024-02-24,AFTERNOON,0.01,81.62
2024-02-24,EVENING,0.01,101.7
2024-02-25,NIGHT,0.01,45.4
2024-02-25,MORNING,0.05,42.8
2024-02-25,AFTERNOON,0.01,59.5
2024-02-25,EVENING,0.01,69.0
2024-02-26,NIGHT,0.01,93.89
2024-02-26,MORNING,0.02,63.18
2024-02-26,AFTERNOON,0.01,67.31
2024-02-26,EVENING,0.01,103.0
2024-02-27,NIGHT,0.01,55.35
2024-02-27,MORNING,0.01,110.4
2024-02-27,AFTERNOON,0.01,110.75
2024-02-27,EVENING,0.01,59.7
2024-02-28,NIGHT,0.01,68.21
2024-02-28,MORNING,0.02,46.5
2024-02-28,AFTERNOON,0.01,82.72
2024-02-28,EVENING,0.01,106.62
2024-02-29,NIGHT,0.01,86.27
2024-02-29,MORNING,0.01,61.89
2024-02-29,AFTERNOON,0.01,118.87
2024-02-29,EVENING,0.01,59.48
2024-03-01,NIGHT,1.64,9.46
